,"Jan 11"
"Ordinary Income/Expense",""
"Income",""
"1000  INCOME",""
"1001  Association fee",3740.00
"1003  Late Fee",20.00
"Total 1000  INCOME",3760.00
"Total Income",3760.00
"Gross Profit",3760.00
"Expense",""
"2000  OPERATING EXPENSES",""
"2001  Property Management Fee",442.00
"2002  Printing & Reproduction",57.00
"2003  Postage and Delivery",18.04
"2013  Fine",132.40
"Total 2000  OPERATING EXPENSES",649.44
"3000  MAINTENANCE & REPAIRS",""
"3005  Landscaping",550.00
"Total 3000  MAINTENANCE & REPAIRS",550.00
"4000  UTILITIES",""
"4001  Fpl",""
"1  Acc#. 96226-02499",198.55
"2  Acc#. 24148-06014",208.04
"Total 4001  Fpl",406.59
"4004  Waste Disposal",827.93
"Total 4000  UTILITIES",1234.52
"Total Expense",2433.96
"Net Ordinary Income",1326.04
"Net Income",1326.04
